year,fiscal_year,agency,agency_full,nominal
2021,2021/22,Other departments & agencies,Other departments and agencies,894.0
2021,2021/22,SSHRC,Social Sciences and Humanities Research Council of Canada,873.0
2021,2021/22,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",735.0
2021,2021/22,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,469.0
2021,2021/22,Natural Resources Canada,Natural Resources Canada,450.0
2021,2021/22,National Defence,National Defence,395.0
2021,2021/22,CFI,Canada Foundation for Innovation,376.0
2021,2021/22,Canadian Space Agency,Canadian Space Agency,196.0
2021,2021/22,Environment & Climate Change,Environment and Climate Change Canada,187.0
2021,2021/22,Health Canada,Health Canada,51.0
2021,2021/22,Public Health Agency,Public Health Agency of Canada,51.0
2021,2021/22,Statistics Canada,Statistics Canada,45.0
2021,2021/22,Global Affairs Canada,Global Affairs Canada,35.0
2021,2021/22,Fisheries & Oceans,Fisheries and Oceans Canada,9.0
2022,2022/23,National Research Council,National Research Council Canada,1396.0
2022,2022/23,CIHR,Canadian Institutes of Health Research,1268.0
2022,2022/23,NSERC,Natural Sciences and Engineering Research Council of Canada,1234.0
2022,2022/23,Other departments & agencies,Other departments and agencies,985.0
2022,2022/23,SSHRC,Social Sciences and Humanities Research Council of Canada,916.0
2022,2022/23,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",781.0
2022,2022/23,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,473.0
2022,2022/23,CFI,Canada Foundation for Innovation,401.0
2022,2022/23,Natural Resources Canada,Natural Resources Canada,373.0
2022,2022/23,National Defence,National Defence,367.0
2022,2022/23,Canadian Space Agency,Canadian Space Agency,306.0
2022,2022/23,Environment & Climate Change,Environment and Climate Change Canada,253.0
2022,2022/23,Public Health Agency,Public Health Agency of Canada,71.0
2022,2022/23,Health Canada,Health Canada,56.0
2022,2022/23,Global Affairs Canada,Global Affairs Canada,40.0
2022,2022/23,Statistics Canada,Statistics Canada,39.0
2022,2022/23,Fisheries & Oceans,Fisheries and Oceans Canada,14.0
2023,2023/24,National Research Council,National Research Council Canada,1444.0
2023,2023/24,CIHR,Canadian Institutes of Health Research,1272.0
2023,2023/24,NSERC,Natural Sciences and Engineering Research Council of Canada,1233.0
2023,2023/24,SSHRC,Social Sciences and Humanities Research Council of Canada,1018.0
2023,2023/24,Other departments & agencies,Other departments and agencies,1003.0
2023,2023/24,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",779.0
2023,2023/24,CFI,Canada Foundation for Innovation,512.0
2023,2023/24,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,480.0
2023,2023/24,National Defence,National Defence,350.0
2023,2023/24,Natural Resources Canada,Natural Resources Canada,328.0
2023,2023/24,Canadian Space Agency,Canadian Space Agency,237.0
2023,2023/24,Environment & Climate Change,Environment and Climate Change Canada,217.0
2023,2023/24,Public Health Agency,Public Health Agency of Canada,86.0
2023,2023/24,Health Canada,Health Canada,64.0
2023,2023/24,Fisheries & Oceans,Fisheries and Oceans Canada,45.0
2023,2023/24,Global Affairs Canada,Global Affairs Canada,45.0
2023,2023/24,Statistics Canada,Statistics Canada,22.0
2024,2024/25,National Research Council,National Research Council Canada,1602.0
2024,2024/25,CIHR,Canadian Institutes of Health Research,1320.0
2024,2024/25,NSERC,Natural Sciences and Engineering Research Council of Canada,1290.0
2024,2024/25,SSHRC,Social Sciences and Humanities Research Council of Canada,1105.0
2024,2024/25,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",1027.0
2024,2024/25,Other departments & agencies,Other departments and agencies,1016.0
2024,2024/25,CFI,Canada Foundation for Innovation,567.0
2024,2024/25,National Defence,National Defence,513.0
2024,2024/25,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,508.0
2024,2024/25,Canadian Space Agency,Canadian Space Agency,401.0
2024,2024/25,Natural Resources Canada,Natural Resources Canada,386.0
2024,2024/25,Environment & Climate Change,Environment and Climate Change Canada,234.0
2024,2024/25,Public Health Agency,Public Health Agency of Canada,134.0
2024,2024/25,Health Canada,Health Canada,127.0
2024,2024/25,Statistics Canada,Statistics Canada,51.0
